[20:06:37] [main/INFO]: ModLauncher running: args [--username, Volixia666, --version, forge-47.2.0, --gameDir, C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2), --assetsDir, C:\Users\olivi\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, c5e41b1aa38e4d12a80578b67734a038, --accessToken, ????????, --clientId, NTQwNjViMDUtZDkzNy00M2U1LWIzMTQtNWFkYWVlNTExNDIx, --xuid, 2535421912994388, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\olivi\curseforge\minecraft\Install\quickPlay\java\1713143194986.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.2.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[20:06:37] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[20:06:39] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[20:06:39] [main/INFO]: Trying GL version 4.6
[20:06:39] [main/INFO]: Requested GL version 4.6 got version 4.6
[20:06:39] [main/INFO]: Redirector CoreMod initialized successfully!
[20:06:39] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce GTX 1060 6GB/PCIe/SSE2 GL version 4.6.0 NVIDIA 536.99, NVIDIA Corporation
[20:06:39] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/olivi/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[20:06:39] [main/INFO]: ? Processing 120 client sides mods with 0 skipped entries ...
[20:06:39] [main/INFO]: ? No need to update client side mods config file C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\config\adaptive_performance_tweaks\client_side_mods.list
[20:06:39] [main/INFO]: ? Processing 120 client sides mods with 3 skipped entries ...
[20:06:39] [main/INFO]: [Mod Optimizer] ? init with game dir C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2) and mods dir C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods for target CLIENT
[20:06:39] [main/INFO]: [Mod Optimizer] ? Optimizing Duplicated Mods ...
[20:06:39] [main/INFO]: [Duplicated Mods] checking ~212 mods in C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods for duplication with file extension .jar ...
[20:06:41] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.9.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file alternate_current-mc1.20-1.7.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file amendments-1.20-1.1.18.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file archers_paradox-1.20.1-5.0.0.17.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ars_elemental-1.20.1-0.6.5.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.10.0-all.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file artifacts-forge-9.4.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file BadMobs-1.20.1-19.0.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file badpackets-forge-0.4.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file balm-forge-1.20.1-7.2.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file BetterBeekeeping-1.20.1-1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file betterchunkloading-1.20.1-3.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file betterfpsdist-1.20.1-4.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file BiomesOPlenty-1.20.1-18.0.0.592.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file blue_skies-1.20.1-1.3.31.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.1.10.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Bountiful-6.0.3+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file buildersaddition-1.20.1-20230928a.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file BuildersDelight-1.20.1-v.1.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file canary-mc1.20.1-0.3.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file chemlib-1.20.1-2.0.19.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file chunksending-1.20.1-2.8.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Chunky-1.3.136.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file citadel-2.5.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file cloth-config-11.1.118-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file CoffeeDelight-Forge-1.20.1-1.4-Fix.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file cofh_core-1.20.1-11.0.0.51.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file collective-1.20.1-7.40.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file connectivity-1.20.1-5.5.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file cookingforblockheads-forge-1.20.1-16.0.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file corail_woodcutter-1.20.1-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file corn_delight-1.0.3-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file CrabbersDelight-1.20.1-1.1.4a.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file craftingtweaks-forge-1.20.1-18.2.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file CraftTweaker-forge-1.20.1-14.0.38.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file crashutilities-8.1.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file cratedelight-1.0.8-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file cristellib-1.1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file cupboard-1.20.1-2.6.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file curios-forge-5.7.2+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file defaultoptions-forge-1.20-18.0.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file DefaultSettings-1.20.x-4.0.7-Forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Delightful-1.20.1-3.5.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file deuf-1.20.1-1.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file dimensionalsycnfixes-1.20.1-0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file doespotatotick-1.20.1-4.0.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file dragonmounts-1.20.1-1.2.0-beta.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file dynview-1.20.1-3.9.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file EasierSleeping-1.20.1-2.1.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ecologics-forge-1.20.1-2.2.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file embeddium-0.3.12+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file embeddiumextras-1.20.1-v2.0.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file endersdelight-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file entityculling-forge-1.6.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file extra_compat-1.4.11.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file extractinator-forge-1.20.1-2.3.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file farsight-1.20.1-3.6.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file fastasyncworldsave-1.20.1-2.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file FastLeafDecay-31.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Fastload-Reforged-mc1.20.1-3.4.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file FastSuite-1.20.1-5.0.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file fishermens_trap-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file fixexperiencebug-1.20-46.2.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file flib-1.20.1-0.0.12.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ForgeEndertech-1.20.1-11.1.3.0-build.0398.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file FpsReducer2-forge-1.20-2.5.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file fruitsdelight-1.0.8.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ftb-chunks-forge-2001.2.7.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ftb-essentials-forge-2001.2.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ftb-library-forge-2001.1.5.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ftb-quests-forge-2001.3.5.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ftb-teams-forge-2001.2.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file FTBQuestsOptimizer-forge-1.2.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file gardens-of-the-dead-forge-4.0.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file HammerLib-1.20.1-20.1.25.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Healing+Bed+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.2.11+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file immersive_aircraft-0.7.5+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file immersive_armors-1.6.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ImprovableSkills-1.20.1-20.1.6.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file inventorysorter-1.20.1-23.0.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file ItemProductionLib-1.20.1-1.0.2a-all.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Jade-1.20.1-forge-11.7.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file jei-1.20.1-forge-15.3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file JRFTL-1.20.1-1.6.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file Kambrik-6.1.1+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file keepmysoiltilled-1.20.1-2.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file knavesneeds-forge-2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file kotlinforforge-4.10.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file kubejs-forge-2001.6.4-build.138.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file kubejsdelight-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file leaky-1.20.1-1.7.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file LeavesBeGone-v8.0.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file letmedespawn-forge-1.20.x-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file letsdo-API-forge-1.2.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file letsdo-herbalbrews-forge-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
